times,scores
2021-03-20 09:12:22,0.711
2021-03-20 15:36:53,0.68
2021-03-20 15:55:19,0.68
2021-03-20 16:17:31,0.68
2021-03-20 21:33:06,0.625
2021-03-21 10:13:27,0.53
2021-03-21 19:29:50,1.0
2021-03-22 12:58:30,0.717
2021-03-22 13:56:29,0.717
2021-03-22 21:47:46,0.408
2021-03-23 02:37:03,0.512
2021-03-23 09:14:08,0.621
2021-03-23 09:15:19,0.621
2021-03-25 13:46:39,0.455
2021-03-25 14:59:58,0.497
2021-03-25 22:44:36,1.0
2021-03-27 17:47:09,1.0
2021-03-29 13:07:00,0.833
2021-03-31 16:20:47,0.729
2021-03-31 16:25:41,0.457
2021-03-31 19:07:17,0.625
2021-03-31 19:17:54,0.457
2021-04-01 10:12:39,0.453
2021-04-02 03:25:05,0.872
2021-04-04 04:24:13,0.497
2021-04-04 21:31:57,1.0
2021-04-05 14:33:17,0.606
2021-04-05 19:11:47,1.0
2021-04-05 19:21:16,0.632
2021-04-05 20:21:21,0.632
2021-04-05 20:29:41,0.517
2021-04-07 05:17:20,0.699
2021-04-07 10:34:32,0.795
2021-04-07 19:45:12,1.0
2021-04-10 00:15:09,0.748
2021-04-10 08:54:32,1.0
2021-04-11 01:14:22,0.633
2021-04-11 08:19:08,0.578
2021-04-11 08:30:28,0.84
2021-04-11 13:27:04,0.158
2021-04-11 17:10:09,1.0
2021-04-11 17:30:36,1.0
2021-04-11 23:37:12,0.858
2021-04-12 07:23:07,0.898
2021-04-12 14:49:01,0.538
2021-04-13 01:25:54,0.5
2021-04-15 08:11:28,0.519
2021-04-16 04:05:52,0.787
2021-04-16 11:13:40,0.806
2021-04-17 21:51:49,0.672
2021-04-17 22:04:05,1.0
2021-04-17 22:17:25,0.805
2021-04-17 22:28:37,0.805
2021-04-17 22:46:03,1.0
2021-04-17 22:47:49,1.0
2021-04-19 20:21:51,0.428
2021-04-20 08:09:29,0.577
2021-04-21 13:21:55,1.0
2021-04-22 22:46:44,0.812
2021-04-23 12:33:30,0.568
2021-04-23 18:07:15,1.0
2021-04-23 18:31:44,1.0
2021-04-23 18:32:44,1.0
2021-04-23 18:59:13,1.0
2021-04-23 19:00:17,1.0
2021-04-23 19:32:29,1.0
2021-04-24 21:16:35,1.0
2021-04-24 21:17:56,1.0
2021-04-25 06:05:17,0.799
2021-04-25 06:12:06,0.811
2021-04-25 06:17:42,0.789
2021-04-25 11:32:24,0.54
2021-04-26 06:41:00,0.452
2021-04-26 09:11:50,0.843
2021-04-26 09:16:07,0.613
2021-04-26 09:35:16,0.619
2021-04-26 09:44:51,0.613
2021-04-26 15:00:43,0.553
2021-04-27 05:23:54,0.648
2021-04-27 05:31:07,0.253
2021-04-27 05:32:17,0.648
2021-04-27 06:38:38,0.647
2021-04-27 17:51:11,0.668
2021-04-28 11:47:58,1.0
2021-04-28 19:07:03,0.577
2021-04-28 19:44:18,0.72
2021-04-28 21:05:32,0.742
2021-04-29 01:17:38,1.0
2021-04-29 12:07:25,0.59
2021-04-29 17:29:05,0.4
2021-04-29 17:32:38,0.4
2021-04-29 18:14:15,0.59
2021-04-30 06:30:01,0.87
2021-04-30 10:34:38,0.578
2021-04-30 12:11:05,0.595
2021-04-30 18:30:09,0.368
2021-04-30 19:50:14,0.902
2021-05-01 12:23:26,1.0
2021-05-01 13:24:18,1.0
2021-05-01 13:26:17,1.0
2021-05-01 16:57:49,0.632
2021-05-02 12:34:28,1.0
2021-05-03 18:16:16,0.839
2021-05-05 08:41:38,0.848
2021-05-05 19:39:03,0.58
2021-05-05 19:56:32,1.0
2021-05-05 20:32:15,1.0
2021-05-05 20:33:45,1.0
2021-05-05 20:34:26,0.676
2021-05-05 20:49:21,0.346
2021-05-05 20:49:57,0.897
2021-05-05 20:51:34,0.897
2021-05-06 15:24:29,1.0
2021-05-07 02:20:06,0.719
2021-05-07 08:23:05,0.719
2021-05-07 10:06:52,0.393
2021-05-07 10:08:41,0.393
2021-05-07 10:11:23,0.815
2021-05-08 08:26:49,0.633
2021-05-09 11:44:47,0.448
2021-05-09 11:48:00,0.351
2021-05-09 12:06:47,0.385
2021-05-09 12:07:20,0.351
2021-05-09 18:30:15,0.446
2021-05-09 18:37:10,0.326
2021-05-10 09:51:52,1.0
2021-05-10 09:55:44,1.0
2021-05-11 03:11:44,0.714
2021-05-12 21:59:06,0.502
2021-05-13 01:20:53,0.506
2021-05-14 18:05:24,0.588
2021-05-14 18:07:26,0.588
2021-05-15 17:53:09,0.4
2021-05-17 01:50:14,1.0
2021-05-17 02:07:32,0.385
2021-05-17 02:09:29,0.385
2021-05-17 17:35:56,1.0
2021-05-20 09:45:18,0.508
2021-05-21 08:35:37,0.465
2021-05-22 14:19:23,0.727
2021-05-23 16:16:51,0.593
2021-05-24 10:25:31,0.374
2021-05-25 07:31:44,0.903
2021-05-27 01:01:20,0.48
2021-05-28 06:08:28,0.556
2021-05-28 15:37:02,0.649
2021-05-28 15:38:07,0.649
2021-05-30 21:18:39,0.467
2021-05-30 21:23:19,0.467
2021-05-30 21:24:15,0.467
2021-05-31 16:19:06,0.667
2021-05-31 16:51:16,1.0
2021-06-01 21:21:16,0.611
2021-06-02 05:08:38,1.0
2021-06-02 13:53:07,0.87
2021-06-02 21:16:04,1.0
2021-06-03 13:52:47,1.0
2021-06-05 16:28:41,0.625
2021-06-09 12:36:28,0.562
2021-06-09 14:17:43,0.562
2021-06-19 03:56:42,0.541
